id,name,location,official_url,legacy_lat,legacy_lng,lat,lng,coordinate_source,coordinate_status
record,サントリー山崎蒸溜所,大阪府三島郡島本町山崎5-2-1,https://www.suntory.co.jp/factory/yamazaki/,34.8926,135.6757,34.892633,135.674462,place,exact
record,サントリー白州蒸溜所,山梨県北杜市白州町鳥原2913-1,https://www.suntory.co.jp/factory/hakushu/,35.8211,138.3362,,,none,approx
record,ニッカウヰスキー余市蒸溜所,北海道余市郡余市町黒川町7-6,https://www.nikka.com/distilleries/yoichi/visit/,43.1979,140.785,,,none,approx
record,ニッカウヰスキー宮城峡蒸溜所,宮城県仙台市青葉区ニッカ1,https://distillery.nikka.com/miyagikyo/reservation,38.3178,140.6897,,,none,approx
record,安積蒸溜所,福島県郡山市笹川1-178,https://www.sasanokawa.co.jp/asaka-distillery/index.html,37.4006,140.3586,37.361894,140.372393,address,exact
record,游佐蒸溜所,山形県飽海郡遊佐町吉出金俣239-5,https://yuza-disty.jp/,39.0434,139.9228,,,none,approx
record,キリンディスティラリー富士御殿場蒸溜所,静岡県御殿場市柴怒田970,https://www.kirin.co.jp/experience/factory/gotemba/,35.3014,138.9329,,,none,approx
record,マルス駒ヶ岳蒸溜所,長野県上伊那郡宮田村4752-31,https://www.hombo.co.jp/visiting/komagatake/reserve-komagatake/,35.7507,137.9381,,,none,approx
record,秩父蒸溜所,埼玉県秩父市みどりが丘49,https://www.instagram.com/chichibu_distillery/,35.9906,139.0901,,,none,approx
record,厚岸蒸溜所,北海道厚岸郡厚岸町宮園4-109-2,https://akkeshi-distillery.com/,43.0416,144.8465,,,none,approx
record,ガイアフロー静岡蒸溜所,静岡県静岡市葵区落合555,https://www.gaiaflow.co.jp/,35.0315,138.3799,,,none,approx
record,三郎丸蒸留所,富山県砺波市三郎丸208,https://www.wakatsuru.co.jp/saburomaru/,36.6463,136.9832,,,none,approx
record,長濱蒸溜所,滋賀県長浜市朝日町14-1,https://www.romanbeer.com,35.3744,136.2739,,,none,approx
record,江井ヶ嶋酒造 ホワイトオーク蒸留所,兵庫県明石市大久保町西島919,https://www.ei-sake.jp/tours.html,34.7158,134.8926,,,none,approx
record,嘉之助蒸溜所,鹿児島県日置市日吉町神之川845-3,https://kanosuke.com/distillery/,31.6839,130.3081,,,none,approx
record,マルス津貫蒸溜所,鹿児島県南さつま市加世田津貫6594,https://www.hombo.co.jp/visiting/tsunuki/reserve-tsunuki/,31.4185,130.3387,,,none,approx
